MOS,short_file_name,condition_num,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
3.5652173913043477,CH_m1_s3_c40_VideoCallLive_P920toN80_-21dBASL.48k.wav,40,5,3,3,4,3,3,4,4,3,3,4,5,4,3,3,5,4,3,4,2,3
2.608695652173913,CH_m2_s1_c35_EFRlive_badChan.48k.wav,35,3,2,3,2,3,2,3,3,2,2,3,5,1,1,4,4,2,2,2,3,1
3.0434782608695654,CH_m1_s4_c37_HothNoise16dBSNR_EFRlive_badChan.48k.wav,37,2,3,3,3,3,2,4,3,3,2,4,5,3,2,4,4,3,2,3,2,3
2.574468085106383,CH_f1_s1_c28_Babble16dBSNR_AMR-NBmode5_CEP-NR_AMR-NBmode5.48k.wav,28,3,2,3,2,2,1,3,2,3,1,4,5,3,2,2,3,3,3,3,2,2
4.434782608695652,CH_m2_s3_c14_AMR-WBmode2.48k.wav,14,5,5,4,5,4,4,5,5,4,4,4,5,4,3,5,4,5,4,5,3,5
3.391304347826087,CH_m1_s3_c25_ISDNtoN80_AMR-NB_badChan.48k.wav,25,4,3,3,3,3,3,4,4,3,3,3,5,4,3,3,3,4,3,4,3,3
2.5652173913043477,CH_f2_s4_c23_HothNoise16dBSNR_PhoneNS_N80toISDN_AMR-NB.48k.wav,23,2,2,3,2,3,2,3,2,3,2,3,5,3,2,3,3,2,2,3,1,2
3.1739130434782608,CH_m1_s3_c30_GSM2L_elClipped_acoustRcv.48k.wav,30,4,3,3,3,3,3,4,3,3,3,4,5,2,2,3,3,4,2,3,2,4
2.739130434782609,CH_f1_s3_c33_HothNoise16dBSNR_EFRlive.48k.wav,33,3,2,3,1,2,2,4,3,3,2,3,4,2,2,2,4,3,2,3,2,3
4.434782608695652,CH_f2_s3_c14_AMR-WBmode2.48k.wav,14,5,4,4,3,3,5,5,4,4,5,5,5,5,4,5,4,5,4,5,4,5
2.130434782608696,CH_f1_s3_c12_20percFrameLoss.48k.wav,12,1,3,2,1,1,1,2,2,3,4,2,5,1,1,5,2,1,2,2,2,1
2.608695652173913,CH_f1_s4_c21_Hoth14dBSNR_AACq30_-21dBASL.48k.wav,21,3,2,2,1,3,1,3,3,3,1,2,5,3,3,3,3,2,3,4,2,2
3.260869565217391,CH_f2_s4_c16_Babble16dBSNR_AMR-WBmode2.48k.wav,16,3,3,2,3,3,1,3,3,4,5,4,5,3,3,4,3,3,3,3,2,4
3.130434782608696,CH_f1_s4_c16_Babble16dBSNR_AMR-WBmode2.48k.wav,16,3,3,3,1,4,1,3,3,4,3,3,5,4,3,4,3,3,3,4,2,3
3.9347826086956523,CH_f1_s1_c05_MNRU25dBSNR.48k.wav,5,5,4,4,3,5,4,4,4,3,4,4,4,4,4,5,5,3,3,3,4,4
3.590909090909091,CH_f1_s3_c20_EVRC-WB_OP3.48k.wav,20,4,3,3,4,2,4,3,4,4,3,4,4,3,4,3,2,5,3,4,4,4
2.3636363636363638,CH_f1_s3_c26_WB_AACq25.48k.wav,26,3,1,2,2,3,3,2,4,3,2,2,3,2,1,1,1,3,2,4,2,2
2.227272727272727,CH_m2_s3_c26_WB_AACq25.48k.wav,26,3,1,2,2,2,3,2,3,4,1,2,2,2,1,1,1,2,2,4,2,2
3.1818181818181817,CH_f2_s1_c45_Skype_2xTor_-34dBASL.48k.wav,45,3,2,3,3,3,3,3,4,5,3,3,4,3,2,3,3,2,2,4,3,4
2.272727272727273,CH_m1_s2_c36_HothNoise16dBSNR_noPhoneNS_AMR-NBlive.48k.wav,36,2,2,2,3,2,3,3,1,3,2,2,3,2,2,2,2,1,2,3,2,3
2.227272727272727,CH_m2_s2_c36_HothNoise16dBSNR_noPhoneNS_AMR-NBlive.48k.wav,36,2,1,1,3,2,3,3,1,2,2,3,3,3,3,1,2,1,2,3,2,3
3.3181818181818183,CH_f1_s2_c07_-46dBASL.48k.wav,7,1,3,3,3,4,4,3,4,4,2,5,4,4,3,3,4,3,4,2,4,2
