MOS,short_file_name,condition_num,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19
2.3,CH_f1_s4_c44_Skype_2xTor_-42dBASL.48k.wav,44,1,2,4,3,2,3,2,1,2,1,1,4,4,2,3,4,2,2,1
3,CH_m1_s3_c40_VideoCallLive_P920toN80_-21dBASL.48k.wav,40,3,4,2,3,3,3,3,2,4,3,2,3,3,3,2,4,3,3,4
3.2,CH_f1_s1_c38_VideoCallLive_P920toN80.48k.wav,38,3,4,4,4,3,2,3,3,4,3,1,3,3,4,2,4,3,4,3
2.8,CH_f2_s1_c29_GSM2L_acoustRcv.48k.wav,29,2,3,4,3,3,2,3,3,3,3,2,3,2,3,2,4,3,3,2
3.3,CH_f2_s3_c40_VideoCallLive_P920toN80_-21dBASL.48k.wav,40,4,4,4,4,3,2,3,3,4,3,2,4,3,3,2,4,3,3,4
2.95,CH_m1_s2_c02_Hoth12dBSNR.48k.wav,2,3,2,4,3,3,4,4,2,3,2,3,2,3,3,2,3,4,2,4
1.35,CH_m2_s2_c27_WB_4xAACq25.48k.wav,27,1,1,1,1,2,1,1,1,1,1,1,1,3,2,1,1,2,2,1
2.25,CH_f1_s3_c26_WB_AACq25.48k.wav,26,3,2,4,2,1,2,3,3,3,2,1,2,2,2,1,3,2,2,2
2.85,CH_f1_s1_c45_Skype_2xTor_-34dBASL.48k.wav,45,2,3,4,3,4,3,2,4,2,2,3,5,4,2,1,4,3,3,1
1.95,CH_m2_s1_c24_HothNoise16dBSNR_noPhoneNS_AMR-NBlive_badChan.48k.wav,24,3,2,2,1,2,2,1,2,2,1,1,2,3,3,1,3,2,2,2
2.6,CH_m2_s3_c30_GSM2L_elClipped_acoustRcv.48k.wav,30,3,3,3,3,3,1,3,2,3,3,2,2,3,2,1,4,2,3,3
